"id","station","year","crime"
1,1,"2010",108
2,1,"2010",608
3,1,"2010",168
4,1,"2010",126
5,1,"2010",263
6,1,"2010",493
7,1,"2010",125
8,1,"2010",251
9,1,"2010",288
10,1,"2010",101
11,1,"2010",190
12,1,"2010",602
13,1,"2010",146
14,1,"2010",643
15,1,"2010",206
16,1,"2010",92
17,0,"2010",75
18,0,"2010",88
19,0,"2010",59
20,0,"2010",98
21,0,"2010",106
22,0,"2010",98
23,0,"2010",240
24,0,"2010",303
25,0,"2010",163
26,0,"2010",223
27,0,"2010",206
28,0,"2010",172
29,0,"2010",135
30,0,"2010",99
31,0,"2010",103
32,0,"2010",79
1,1,"2011",128
2,1,"2011",887
3,1,"2011",188
4,1,"2011",134
5,1,"2011",229
6,1,"2011",573
7,1,"2011",107
8,1,"2011",207
9,1,"2011",198
10,1,"2011",115
11,1,"2011",181
12,1,"2011",655
13,1,"2011",131
14,1,"2011",641
15,1,"2011",195
16,1,"2011",102
17,0,"2011",64
18,0,"2011",96
19,0,"2011",47
20,0,"2011",83
21,0,"2011",103
22,0,"2011",84
23,0,"2011",320
24,0,"2011",344
25,0,"2011",137
26,0,"2011",193
27,0,"2011",166
28,0,"2011",158
29,0,"2011",106
30,0,"2011",71
31,0,"2011",135
32,0,"2011",65
1,1,"2012",120
2,1,"2012",833
3,1,"2012",130
4,1,"2012",102
5,1,"2012",313
6,1,"2012",520
7,1,"2012",99
8,1,"2012",172
9,1,"2012",247
10,1,"2012",142
11,1,"2012",157
12,1,"2012",733
13,1,"2012",175
14,1,"2012",555
15,1,"2012",217
16,1,"2012",86
17,0,"2012",41
18,0,"2012",87
19,0,"2012",45
20,0,"2012",79
21,0,"2012",86
22,0,"2012",66
23,0,"2012",292
24,0,"2012",309
25,0,"2012",162
26,0,"2012",159
27,0,"2012",186
28,0,"2012",176
29,0,"2012",139
30,0,"2012",76
31,0,"2012",120
32,0,"2012",63
1,1,"2013",111
2,1,"2013",625
3,1,"2013",131
4,1,"2013",121
5,1,"2013",236
6,1,"2013",538
7,1,"2013",106
8,1,"2013",193
9,1,"2013",250
10,1,"2013",88
11,1,"2013",152
12,1,"2013",770
13,1,"2013",154
14,1,"2013",556
15,1,"2013",231
16,1,"2013",58
17,0,"2013",50
18,0,"2013",72
19,0,"2013",33
20,0,"2013",76
21,0,"2013",87
22,0,"2013",64
23,0,"2013",290
24,0,"2013",278
25,0,"2013",131
26,0,"2013",139
27,0,"2013",172
28,0,"2013",158
29,0,"2013",95
30,0,"2013",76
31,0,"2013",94
32,0,"2013",58
1,1,"2014",95
2,1,"2014",450
3,1,"2014",162
4,1,"2014",80
5,1,"2014",194
6,1,"2014",398
7,1,"2014",98
8,1,"2014",134
9,1,"2014",195
10,1,"2014",73
11,1,"2014",146
12,1,"2014",725
13,1,"2014",129
14,1,"2014",521
15,1,"2014",177
16,1,"2014",58
17,0,"2014",46
18,0,"2014",51
19,0,"2014",32
20,0,"2014",80
21,0,"2014",80
22,0,"2014",57
23,0,"2014",227
24,0,"2014",194
25,0,"2014",95
26,0,"2014",118
27,0,"2014",152
28,0,"2014",106
29,0,"2014",105
30,0,"2014",63
31,0,"2014",66
32,0,"2014",49
1,1,"2015",90
2,1,"2015",364
3,1,"2015",139
4,1,"2015",78
5,1,"2015",213
6,1,"2015",307
7,1,"2015",84
8,1,"2015",90
9,1,"2015",192
10,1,"2015",52
11,1,"2015",156
12,1,"2015",695
13,1,"2015",107
14,1,"2015",484
15,1,"2015",204
16,1,"2015",74
17,0,"2015",43
18,0,"2015",39
19,0,"2015",34
20,0,"2015",75
21,0,"2015",57
22,0,"2015",53
23,0,"2015",234
24,0,"2015",235
25,0,"2015",95
26,0,"2015",100
27,0,"2015",136
28,0,"2015",186
29,0,"2015",58
30,0,"2015",76
31,0,"2015",50
32,0,"2015",54
1,1,"2016",85
2,1,"2016",439
3,1,"2016",131
4,1,"2016",81
5,1,"2016",255
6,1,"2016",328
7,1,"2016",83
8,1,"2016",105
9,1,"2016",214
10,1,"2016",66
11,1,"2016",201
12,1,"2016",890
13,1,"2016",108
14,1,"2016",609
15,1,"2016",213
16,1,"2016",65
17,0,"2016",43
18,0,"2016",63
19,0,"2016",30
20,0,"2016",87
21,0,"2016",72
22,0,"2016",59
23,0,"2016",225
24,0,"2016",217
25,0,"2016",108
26,0,"2016",113
27,0,"2016",112
28,0,"2016",150
29,0,"2016",120
30,0,"2016",51
31,0,"2016",68
32,0,"2016",43
1,1,"2017",93
2,1,"2017",517
3,1,"2017",127
4,1,"2017",102
5,1,"2017",191
6,1,"2017",290
7,1,"2017",86
8,1,"2017",114
9,1,"2017",256
10,1,"2017",54
11,1,"2017",274
12,1,"2017",1124
13,1,"2017",135
14,1,"2017",564
15,1,"2017",252
16,1,"2017",67
17,0,"2017",43
18,0,"2017",102
19,0,"2017",25
20,0,"2017",94
21,0,"2017",70
22,0,"2017",36
23,0,"2017",190
24,0,"2017",209
25,0,"2017",118
26,0,"2017",122
27,0,"2017",154
28,0,"2017",98
29,0,"2017",79
30,0,"2017",64
31,0,"2017",60
32,0,"2017",56
1,1,"2018",97
2,1,"2018",594
3,1,"2018",226
4,1,"2018",121
5,1,"2018",241
6,1,"2018",326
7,1,"2018",83
8,1,"2018",151
9,1,"2018",243
10,1,"2018",70
11,1,"2018",265
12,1,"2018",1105
13,1,"2018",146
14,1,"2018",616
15,1,"2018",249
16,1,"2018",79
17,0,"2018",40
18,0,"2018",100
19,0,"2018",35
20,0,"2018",64
21,0,"2018",65
22,0,"2018",63
23,0,"2018",209
24,0,"2018",194
25,0,"2018",130
26,0,"2018",147
27,0,"2018",179
28,0,"2018",107
29,0,"2018",100
30,0,"2018",80
31,0,"2018",66
32,0,"2018",45
1,1,"2019",72
2,1,"2019",597
3,1,"2019",157
4,1,"2019",94
5,1,"2019",179
6,1,"2019",308
7,1,"2019",99
8,1,"2019",143
9,1,"2019",269
10,1,"2019",71
11,1,"2019",270
12,1,"2019",1156
13,1,"2019",122
14,1,"2019",594
15,1,"2019",265
16,1,"2019",75
17,0,"2019",41
18,0,"2019",93
19,0,"2019",19
20,0,"2019",78
21,0,"2019",50
22,0,"2019",48
23,0,"2019",216
24,0,"2019",212
25,0,"2019",131
26,0,"2019",111
27,0,"2019",116
28,0,"2019",141
29,0,"2019",97
30,0,"2019",66
31,0,"2019",67
32,0,"2019",41
